匚	a
句	gkiae
鲴	gkiaei
鳏	gkiai
馉	gkiaia
猓	gkiao
馃	gkiaoo
觥	gkio
馆	gko
逛	gkoa
犷	gkoe
够	gku
狗	gkua
鲧	gkuai
鳤	gkue
雊	gkui
觚	gkuu
管	gl
簋	gla
郜	glai
罐	gle
竿	glee
秆	gleei
篝	gleeia
缸	glei
箍	gleie
筀	gleiei
牯	gleii
筻	gleio
告	gli
乖	glie
刮	glii
稿	glo
篙	gloe
筦	gloo
鸹	glu
笱	glua
牿	glue
筶	gluei
瓜	gm
毌	gme
舸	gmei
赶	gn
邽	gna
姑	gne
戤	gnea
媾	gnee
鼓	gnei
塥	gneia
圭	gneie
坩	gneiee
堌	gneiei
哿	gneii
埂	gneio
卦	gni
埚	gnia
瞽	gniae
堽	gniaei
垙	gnio
尕	gniu
垓	gno
妫	gnou
垢	gnu
毂	gnua
姽	gnuaa
榖	gnuaao
彀	gnuaao
圪	gnue
坬	gnuu
姤	gnuui
干	go
耕	goe
玕	goee
珙	goei
鬶	goeia
珪	goeie
瓘	goeii
规	goi
觏	goia
珖	goio
琯	goo
遘	gooa
瑰	gou
感	gp
顾	gpe
戛	gpea
矸	gpee
硅	gpei
矼	gpeie
龚	gpeiu
尴	gpi
廾	gpii
磙	gpo
尬	gpu
硌	gpua
钢	gr
钆	gra
钙	gre
钴	grei
镉	greia
锅	gri
锢	gria
镐	gro
钩	gru
铬	grua
锆	grue
铦	gruei
官	gs
怪	gsa
惯	gsaa
寡	gse
宫	gsi
割	gsii
宄	gsu
归	gt
溉	gta
澉	gtae
港	gte
灌	gtei
滆	gteia
泔	gteie
沽	gteii
潢	gteiia
浭	gteio
瀔	gteiu
尜	gteu
涡	gti
汩	gtia
洸	gtio
滚	gto
涫	gtoo
沟	gtu
氿	gtua
淦	gtuo
搞	gu
掼	gua
挂	gue
拱	guei
扛	gueie
擀	gueiu
拐	gui
掴	guia
搁	guo
夹	guoo
拘	guu
括	guue
搿	guuo
光	gw
菇	gwa
茛	gwae
菰	gwai
苷	gwe
葛	gwi
蓇	gwia
莞	gwo
蒄	gwoa
藁	gwoe
荄	gwoeo
苟	gwu
鹳	gwua
芥	gwuo
观	gx
癸	gxe
颈	gxeu
矜	gxu
过	gy
功	gya
丐	gyaa
嘏	gyae
工	gye
甘	gyee
酐	gyeei
鞲	gyeeia
哥	gyei
酤	gyeii
革	gyi
古	gyia
汞	gyiao
贡	gyiau
贾	gyiauo
恭	gyio
更	gyo
辜	gyoe
耿	gyou
